Name,Elo
hamilton,1660.47
vettel,1370.17
alonso,1304.3
raikkonen,1367.51
max_verstappen,1577.25
ricciardo,1373.09
perez,1425.08
bottas,1256.38
hulkenberg,1238.11
sainz,1324.32
kevin_magnussen,1134.29
grosjean,1112.14
ocon,1381.77
stroll,1477.05
ericsson,1252.6
gasly,1233.59
brendon_hartley,1215.46
leclerc,1260.16
sirotkin,1221.5
vandoorne,1270.51
kvyat,1267.61
norris,1244.49
albon,1290.88
giovinazzi,1252.7
russell,1219.75
kubica,1171.0
latifi,1201.44
aitken,1200
pietro_fittipaldi,1197.73
tsunoda,1164.35
mick_schumacher,1217.12
mazepin,1189.04
zhou,1222.13
de_vries,1200.49
,1200
sargeant,1181.0
piastri,1219.21
lawson,1188.44
bearman,1275.68
colapinto,1214.65
doohan,1189.59
antonelli,1210.09
bortoleto,1195.97
hadjar,1149.36
arvid_lindblad,1201.17
